order_id,ticket_id,OrderDateKey,DepartureDateKey,ArrivalDateKey,PassengerKey,ChannelKey,AirlineKey,OriginKey,DestinationKey,RouteKey,SeatClassKey,ticket_price,discount_amount,insurance_fee,baggage,lead_time_days,BookingKey,DiscountRate,CancellationFlag,ProfitAmount
20205,31268,1,14,14,10,1,1,1,1,1,1,867760,45000,0,0,13,1,0.05185765649488338,0,822760
20190,31242,1,2,2,2,2,1,1,1,1,2,974280,45000,0,0,1,2,0.04618795418154945,0,929280
20245,31337,1,41,41,3367,1,1,2,1,2,3,1423080,16000,0,0,40,3,0.011243218933580684,0,1407080
20259,31360,1,41,41,4,3,1,2,1,2,3,1067310,45000,0,0,40,4,0.042162071000927566,0,1022310
20255,31355,1,41,41,3367,1,1,2,1,2,3,1067310,24000,0,0,40,5,0.02248643786716137,0,1043310
20251,31348,1,41,41,3367,1,1,2,1,2,3,1304490,16000,0,0,40,6,0.012265329745724383,0,1288490
20226,31307,1,41,41,4,3,1,2,1,2,3,1304490,0,0,0,40,7,0.0,0,1304490
20251,31344,1,41,41,3367,1,1,2,1,2,3,948720,18000,40000,0,40,8,0.018972931950417403,0,890720
20251,31346,1,41,41,3367,1,1,2,1,2,3,948720,24000,0,0,40,9,0.02529724260055654,0,924720
20251,31350,1,41,41,3367,1,1,2,1,2,3,1013310,24000,0,0,40,10,0.023684755898984517,0,989310
20218,31296,1,41,41,3367,1,1,2,1,2,3,1423080,22000,0,0,40,11,0.01545942603367344,0,1401080
20197,31257,1,7,7,10,1,1,2,1,2,1,1019120,55000,0,237600,6,12,0.05396812936651228,0,964120
20197,31258,1,7,7,10,1,1,2,1,2,1,1019120,55000,0,178200,6,13,0.05396812936651228,0,964120
20154,31188,1,11,11,2406,1,1,2,1,2,3,1067310,40000,0,0,10,14,0.03747739644526895,0,1027310
20154,31190,1,11,11,2406,1,1,2,1,2,3,1423080,45000,0,0,10,15,0.031621553250695676,0,1378080
20154,31192,1,11,11,2406,1,1,2,1,2,3,1304490,55000,0,217800,10,16,0.042162071000927566,0,1249490
20155,31193,1,39,39,14,1,2,3,1,3,4,2129000,0,0,0,38,17,0.0,0,2129000
20193,31245,1,16,16,31,3,2,3,1,3,5,1906300,0,0,0,15,18,0.0,0,1906300
20193,31247,1,16,16,31,3,2,3,1,3,5,1906300,0,40000,0,15,19,0.0,0,1866300
20223,31303,1,3,3,17,1,1,3,1,3,1,1641510,0,0,0,2,20,0.0,0,1641510
20241,31332,1,12,12,18,1,3,3,1,3,6,1863200,0,0,0,11,21,0.0,0,1863200
20180,31227,1,7,7,19,1,4,3,1,3,7,1402920,20000,0,0,6,22,0.014255980383770992,0,1382920
20209,31277,1,7,7,20,3,1,3,2,4,8,780210,60000,0,0,6,23,0.07690237243818972,0,720210
20222,31301,1,21,21,21,1,1,3,2,4,9,1172280,60000,0,0,20,24,0.051182311393182515,0,1112280
20194,31251,1,6,6,24,3,1,3,3,5,9,781520,55000,0,0,5,25,0.07037567816562595,0,726520
20194,31253,1,6,6,24,3,1,3,3,5,9,733520,60000,0,0,5,26,0.081797360671829,0,673520
20194,31252,1,6,6,24,3,1,3,3,5,9,1100280,55000,0,158400,5,27,0.04998727596611772,0,1045280
20165,31208,1,22,22,1121,3,3,3,4,6,10,1329600,50000,0,0,21,28,0.037605294825511434,0,1279600
20156,31195,1,4,4,26,3,1,3,5,7,11,1036720,50000,0,0,3,29,0.04822903001774828,0,986720
20244,31335,1,5,5,27,1,1,3,6,8,2,1106280,55000,0,0,4,30,0.049716165889286616,0,1051280
20200,31261,1,3,3,2880,3,1,3,6,8,11,1097900,40000,0,0,2,31,0.036433190636670006,0,1057900
20263,31366,1,4,4,29,1,2,4,7,9,5,938300,20000,0,0,3,32,0.02131514441010338,0,918300
20204,31267,1,12,12,10,1,3,4,7,9,6,1472900,0,0,0,11,33,0.0,0,1472900
20253,31352,1,6,6,30,1,3,4,7,9,12,811000,16000,0,0,5,34,0.01972872996300863,0,795000
20254,31353,1,6,6,30,1,3,4,7,9,12,973200,18000,0,0,5,35,0.018495684340320593,0,955200
20255,31354,1,34,34,3367,1,1,4,8,10,13,1211880,22000,0,0,33,36,0.01815361256890121,0,1189880
20245,31336,1,34,34,3367,1,1,4,8,10,2,1106280,55000,0,0,33,37,0.049716165889286616,0,1051280
20259,31359,1,34,34,4,3,1,4,8,10,13,1009900,20000,0,0,33,38,0.019803940984255867,0,989900
20251,31347,1,34,34,3367,1,1,4,8,10,2,829710,55000,0,0,33,39,0.06628822118571549,0,774710
20251,31349,1,34,34,3367,1,1,4,8,10,2,689520,40000,50000,0,33,40,0.0580113702285648,0,599520
20251,31343,1,34,34,3367,1,1,4,8,10,2,921900,50000,0,0,33,41,0.05423581733376722,0,871900
